id,name,description,category,brand,price,stock_quantity,sku,created_at,updated_at
d0087b0f-b409-44a4-9119-3416b17ffa3b,error: Access denied to method rand.,Leak-proof cooler bag ideal for picnics and camping.,N/A,"Cascadian Therapeutics, Inc.",39.99,,13,2026-02-25,
b76fcc17-0d0b-4c45-a209-c9559cc114e9,error: Access denied to method rand.,"Pure and natural honey, great for sweetening.",books,Nielsen N.V.,5.49,389,14,2025-09-04,2025-08-12
a04a2ae6-c1a5-41f9-8cc9-728b6b30ce36,error: Access denied to method rand.,"A delicious savory quinoa pudding, great as a side dish.",clothing,CHS Inc,2.99,434,15,2026-01-13,
4d011778-3fa7-486f-a0ef-ddfd333074a9,error: Access denied to method rand.,"Nutty flavored chia seeds, packed with nutrients.",Eletronics,Zions Bancorporation,6.99,92,16,2026-11-07,
4efc3eb5-780b-4d49-aa4d-d6bd184a88b3,error: Access denied to method rand.,Eco-friendly utensil set made from natural wood.,HOME,"AeroVironment, Inc.",19.99,,17,2026-09-08,
9c6e2479-269e-4b62-aef3-f638afb94fb8,error: Access denied to method rand.,"Fresh seedless red grapes, perfect for snacking.",Eletrônicos,Zosano Pharma Corporation,3.49,415,18,2026-06-23,
6a39b93d-647a-4685-9fcc-a04ba690c098,error: Access denied to method rand.,Compact hair straightener for travel.,,Visa Inc.,29.99,151,19,2025-03-30,
859cc972-a6b8-4ad6-91df-a34bfa0d9694,error: Access denied to method rand.,Crispy roasted chickpeas seasoned to perfection,,"Celldex Therapeutics, Inc.",2.99,,20,2025-04-17,
caf6de77-4fb6-4bf9-8af1-9790e184f82a,error: Access denied to method rand.,Spicy cornbread infused with jalapeños for a kick of flavor at your next meal.,ELETRONICS,"Bob Evans Farms, Inc.",3.29,344,21,2026-11-18,
ebe96ef3-2bc1-416b-8d19-30730a2f0000,error: Access denied to method rand.,A nourishing bowl of sweet potatoes and chickpeas with spices.,Unknown,Simmons First National Corporation,6.49,54,22,2025-06-13,
1169f851-8b87-4d55-8b88-e9d9e7cce32c,error: Access denied to method rand.,Eco-friendly toys for learning and imaginative play.,Eletronics,Rex Energy Corporation,29.99,137,23,2026-05-28,
8171a3aa-ae5d-42df-a5a2-fb036ea467d3,error: Access denied to method rand.,Lightweight and portable picnic table for outdoor use.,BOOKS,Belden Inc,49.99,,24,2026-06-11,
bc8582c2-1fce-4d55-8b24-e6a0d0acb6de,error: Access denied to method rand.,Miso paste for making traditional Japanese miso soup.,clothing,CPB Inc.,2.99,179,25,2026-09-25,
244be4b8-97d5-491c-866b-b62643ab1ec5,error: Access denied to method rand.,"Marinated chicken breast seasoned with herbs, ready for grilling.",,Arthur J. Gallagher & Co.,7.99,-5,26,2025-09-18,
13b1d6bc-d055-4644-b2d1-53d19e14f73c,error: Access denied to method rand.,Compact travel organizer for accessories and toiletries.,Clothing,"Orion Group Holdings, Inc.",22.99,,27,2025-02-03,
95c399bf-1f9c-4660-988f-9e95c031a640,error: Access denied to method rand.,Marinated chicken thighs with smoked paprika for a smoky flavor.,Clothing,"Fiserv, Inc.",6.99,224,28,2025-09-12,
98fab076-d059-479e-9ac1-9eaa91a00ada,error: Access denied to method rand.,A wholesome granola with bits of apple and a touch of cinnamon.,Books,Investors Real Estate Trust,4.49,370,29,2025-03-08,
ea098ca2-4db4-45e3-8be7-2eca42c9f380,error: Access denied to method rand.,"Ready-to-eat beet salad with dressing, great side dish.",Eletrônicos,"Broadwind Energy, Inc.",3.99,-5,30,2026-01-26,
0c70a7f1-0f79-4f60-8d6d-10536d52e16f,error: Access denied to method rand.,Designed for comfort and performance during workouts.,Home,"Juno Therapeutics, Inc.",49.99,144,31,2025-11-24,
114c63bc-3159-49a7-92e5-27767b8f9ea3,error: Access denied to method rand.,Creamy peanut butter with no added sugar or oils.,,"Trinity Industries, Inc.",4.29,54,32,2026-01-10,
2cc8d3a9-6ad3-4ba8-954c-5eb905e95cc9,error: Access denied to method rand.,"Hearty stew made with lentils and mixed vegetables, vegan-friendly.",electronics,GGP Inc.,4.49,,33,2025-03-22,
da8b0b83-eebb-46f0-bf93-2ef84317acda,error: Access denied to method rand.,"Sweet dried raisins, perfect for snacks or baking.",electronics,Amerco,3.19,,34,2026-06-25,
ee79ba4b-772b-4cf5-af1e-e436c16561ff,error: Access denied to method rand.,Multi-functional gloves for planting and digging without tools.,Eletronics,Stellar Acquisition III Inc.,15.99,,35,2025-08-05,
eb6e9966-e277-474f-9df3-a4aea63e06c4,error: Access denied to method rand.,Ergonomic memory foam pillow for better sleep.,Electronics,"Cara Therapeutics, Inc.",39.99,,36,2025-10-03,
b549b0d2-d14b-40d7-b4f0-3163a975264c,error: Access denied to method rand.,Vegan sushi filled with spicy vegetables and avocado.,Eletrônicos,AXT Inc,8.49,95,37,2025-06-27,
74a53c5b-8374-4635-a395-449e8728dc6f,error: Access denied to method rand.,Set of decorative cushion covers for home decor.,Home,"First Financial Northwest, Inc.",35,,38,2026-01-23,
2ab80afb-c2fb-4439-ab90-6533fcb3c0af,error: Access denied to method rand.,Compact coffee grinder for fresh ground coffee beans.,,"Latin American Discovery Fund, Inc. (The)",22.99,,39,2025-10-14,
c1407fec-d604-47e4-a0f3-861088884618,error: Access denied to method rand.,"Freshly sliced cucumbers, great for salads or snacking.",Unknown,"Sage Therapeutics, Inc.",1.29,205,40,2026-07-21,
165d612b-41eb-4cbe-8e98-869d03474f49,error: Access denied to method rand.,"A smoky barbecue sauce, ideal for grilling and dipping.",Unknown,"American Airlines Group, Inc.",3.49,117,41,2026-09-14,
923bb71a-61ab-47dc-98c9-9d391b48f988,error: Access denied to method rand.,Tangy and crunchy dill pickles.,clothing,Global Partner Acquisition Corp.,2.49,368,42,2026-08-03,
b9b85d16-7339-4143-a432-c5dc98054651,error: Access denied to method rand.,Polarized sunglasses with UV protection.,,"Groupon, Inc.",29.99,,43,2026-07-29,
367a706f-555f-4998-805a-0376e22da34e,error: Access denied to method rand.,Easily opens jar lids and bottle caps with one touch.,clothing,Pioneer Energy Services Corp.,24.99,457,44,2026-04-23,
f5eabfaf-0081-4606-a76e-e59779811535,error: Access denied to method rand.,"Crunchy granola clusters, perfect for snacking or topping yogurt.",Electronics,"Burlington Stores, Inc.",4.99,377,45,2026-07-04,
1c170262-d23e-4518-9e2b-af8b59be806c,error: Access denied to method rand.,"Crispy chips with a sweet twist, perfect for dipping.",Eletronics,"TC PipeLines, LP",3.29,,46,2025-02-12,
aea40a53-6ac0-4f3a-9009-f7ae462d907e,error: Access denied to method rand.,Flexible light strips for creative home decor.,BOOKS,"Carter's, Inc.",39.99,480,47,2025-07-10,
e5697a68-1b22-4081-8aa2-d32d76f21bc0,error: Access denied to method rand.,"Thin rice noodles, ideal for stir-fries and soups.",HOME,Vince Holding Corp.,3.49,,48,2026-08-31,
5a9aca21-3441-435a-8c19-79d86758c617,error: Access denied to method rand.,Portable ring light that enhances your photos with perfect lighting.,,"aTyr Pharma, Inc.",29.99,430,49,2025-08-10,
f81419b0-52de-4173-a4e6-cc5697d678d8,error: Access denied to method rand.,Set of three aromatic candles with various scents.,N/A,Brookfield Business Partners L.P.,19.99,303,50,2026-05-27,
974ae679-e091-4841-8d43-c0b9db0445b2,error: Access denied to method rand.,32GB USB flash drive with fast data transfer speeds.,Eletronics,PowerShares Russell 1000 Low Beta Equal Weight Portfolio,9.99,20,51,2026-01-28,
98a44e58-1009-42d1-8aa1-9bf1dab37bec,error: Access denied to method rand.,A calming blanket that provides gentle pressure for relaxation.,Eletrônicos,"Broadwind Energy, Inc.",59.99,,52,2025-01-01,
55f9481d-542b-40cc-bcc2-e96c7a7d968d,error: Access denied to method rand.,Complete cleaning kit for camera lenses.,,Cementos Pacasmayo S.A.A.,14.99,,53,2026-05-19,2026-04-24
1d96ba7f-9ddd-49ad-97f5-cd0a2441bff8,error: Access denied to method rand.,Delicious clusters of peanuts and chocolate for a sweet treat.,N/A,"Beasley Broadcast Group, Inc.",2.99,449,54,2025-03-26,
f8443800-96b7-489e-b7d6-dfbf11645444,error: Access denied to method rand.,Classic chicken noodle soup with tender chicken and vegetables.,Books,Star Bulk Carriers Corp.,2.99,5,55,2025-04-18,2026-07-30
dea8a802-bf8c-414a-92fd-07392659b592,error: Access denied to method rand.,Golden crispy chicken tenders coated with honey mustard flavor.,Electronics,China Rapid Finance Limited,7.99,197,56,2026-09-16,
dfc260f2-8970-4922-a636-99cba881901a,error: Access denied to method rand.,Tender beef chunks for slow-cooked stews.,electronics,Navient Corporation,5.99,321,57,2025-07-21,
a278ca42-0fd2-4f4f-808f-11bf9dc40790,error: Access denied to method rand.,Roasted almonds coated in a sweet maple and cinnamon mixture.,N/A,Meritage Corporation,4.29,257,58,2026-12-22,
e3f26ac8-e207-4504-8d1f-cec683df1848,error: Access denied to method rand.,A luxurious faux fur coat that adds glamour to any outfit.,electronics,Whiting Petroleum Corporation,129.99,225,59,2025-05-20,2026-01-14
5c722f73-a997-40ba-836c-33450025f740,error: Access denied to method rand.,"Refreshing apple juice, 100% juice with no added sugar.",clothing,"Albany Molecular Research, Inc.",3.29,491,60,2026-05-13,
38d9a53f-01d1-4320-a015-8a7425fa88f7,error: Access denied to method rand.,Essential tools for outdoor barbecues including tongs and spatula.,Books,"Hawaiian Electric Industries, Inc.",49.99,323,61,2025-06-29,
fdc31c86-a6df-44f9-a37e-c8106d0a18a7,error: Access denied to method rand.,Crunchy pretzel sticks made with honey and whole wheat.,ELETRONICS,"Tandy Leather Factory, Inc.",3.49,134,62,2026-12-30,2025-06-28
80ae9a91-96e2-42e1-a1cd-201afa8e5ebf,error: Access denied to method rand.,Artichoke hearts marinated in herbs and oil.,Home,"Houlihan Lokey, Inc.",3.79,412,63,2025-11-20,
a9f21b07-2d73-4d63-a00c-2eb76cb0e085,error: Access denied to method rand.,"Crispy baked radish chips, a healthy snack alternative.",Electronics,WisdomTree Strategic Corporate Bond Fund,2.89,116,64,2025-03-26,
f8f07259-a757-404f-8c92-07710d242cf9,error: Access denied to method rand.,A flavorful sauce for stir-frying vegetables and meats.,ELETRONICS,Advent Claymore Convertible Securities and Income Fund,2.79,60,65,2026-11-28,
14660531-7bcb-4996-9ecb-ad1b06667433,error: Access denied to method rand.,Energy-efficient window air conditioner for cooling.,Home,Vanguard Intermediate -Term Government Bond ETF,299.99,383,66,2025-09-27,
125a295c-91f2-437f-aaaf-b5ece8892e53,error: Access denied to method rand.,Organize your board games with this storage bin.,Clothing,Dynegy Inc.,19.99,,67,2026-07-08,
25405d01-f2ff-4d79-9da0-c12971c55715,error: Access denied to method rand.,Perfectly balanced sweet and tangy BBQ sauce for dipping or grilling.,Books,Seagate Technology PLC,3.49,1,68,2025-05-23,2025-10-01
363a37b8-b7c8-4fc3-97ee-1089a02cd57d,error: Access denied to method rand.,Compact air conditioner for personal cooling.,Eletronics,K12 Inc,299.99,,69,2025-09-07,
62f9c799-464b-4879-bed4-039abb0eb5cd,error: Access denied to method rand.,Eco-friendly solar lights for pathways and gardens.,Eletrônicos,"iKang Healthcare Group, Inc.",39.99,197,70,2025-10-12,
8cdfea92-c4a9-4061-8322-fb91c6bb7ddd,error: Access denied to method rand.,Elevated planter box for growing herbs or small plants easily.,electronics,DragonWave Inc,49.99,434,71,2025-11-07,
e8cd2e98-2e95-437c-b42c-9eaf138b880e,error: Access denied to method rand.,Comfortable eye mask that includes noise-canceling ear plugs.,Eletrônicos,State Bank Financial Corporation.,15.99,438,72,2025-12-18,
c15e20e5-5e3b-48a1-b193-76d2b2eea633,error: Access denied to method rand.,Spicy salsa made with black beans and tomatoes.,Clothing,Nuveen New York AMT-Free Quality Municipal,3.49,48,73,2025-06-27,2026-01-02
e474c9d7-834b-4248-afe5-6a0b5a124610,error: Access denied to method rand.,Artisan-made sourdough bread with a tangy flavor.,Eletronics,Tesoro Logistics LP,4.99,,74,2026-05-20,
0a9f5e0c-42e3-4ccb-9c4f-d61cf3fc2c74,error: Access denied to method rand.,"Assorted sliced cheese, perfect for sandwiches.",Eletrônicos,"OneMain Holdings, Inc.",4.49,,75,2025-12-04,
e4fc0fac-721e-44e5-9875-23652f76d04c,error: Access denied to method rand.,Natural fruit spread bursting with real strawberry flavor.,Eletronics,Control4 Corporation,3.59,133,76,2026-12-21,
7024be12-83e5-4b19-b280-8f77ed47e766,error: Access denied to method rand.,Personal massager for muscle recovery.,N/A,"Consolidated Communications Holdings, Inc.",79.99,-5,77,2025-09-21,
1f5a0085-3941-458f-a1cf-2a38124e13ba,error: Access denied to method rand.,Set of stylish watch bands to customize your look.,Eletronics,Ashford Hospitality Trust Inc,24.99,181,78,2025-11-15,
91f3ed3c-1fc1-4478-94e8-426d7be1e894,error: Access denied to method rand.,Adjustable lamp with multiple brightness levels and colors.,,"Iconix Brand Group, Inc.",39.99,293,79,2026-06-20,
00ca75f9-05b3-4012-afd1-d4c02b059850,error: Access denied to method rand.,Sweet and savory sauce for marinating and glazing meats or vegetables.,ELETRONICS,CytRx Corporation,2.99,256,80,2026-10-01,
d0a24cae-08c3-4b5d-9923-281aa4cd4a76,error: Access denied to method rand.,Ultrasonic essential oil diffuser with LED lights.,Books,"Curis, Inc.",34.99,232,81,2026-08-30,
6e29e554-22d2-43c5-b3e1-585f67e8e54a,error: Access denied to method rand.,Airtight container to keep pet food fresh.,BOOKS,"Stericycle, Inc.",24.99,119,82,2026-10-20,
278ecc15-6670-4498-913e-34ff1fefe79e,error: Access denied to method rand.,A retro-style button-down shirt with a relaxed fit.,BOOKS,Actuant Corporation,45.99,433,83,2025-08-02,2026-01-04
132d481b-afe8-4821-8b43-e552fbd91214,error: Access denied to method rand.,Golden-brown fritters made with sweet corn.,N/A,"Evoke Pharma, Inc.",4.49,354,84,2026-02-13,
61e4fb5f-9283-4b59-89b3-ecc3f81fb0a8,error: Access denied to method rand.,Adjustable shelving unit for home or garage storage.,BOOKS,Fibrocell Science Inc,69.99,388,85,2026-10-10,
b9b0fcaf-69cf-4885-b54a-21ea4d2d6726,error: Access denied to method rand.,Track your meals and nutrition with this handy food journal.,Books,"Prudential Financial, Inc.",14.99,283,86,2026-05-13,
1e8feb3b-1e79-46b8-8f9e-60daf10e42d6,error: Access denied to method rand.,Decadent tart made with rich dark chocolate.,Books,"Texas Capital Bancshares, Inc.",6.29,98,87,2025-09-13,
3013dcea-b9c7-43b6-b1ed-94a93c2f6f0c,error: Access denied to method rand.,Refreshing cranberry juice with no added sugar.,N/A,"WhiteHorse Finance, Inc.",3.69,464,88,2025-09-28,
4b20131a-ed84-4753-b12e-15ddf75e5f5e,error: Access denied to method rand.,"Versatile holder that can be used on desks, cars, and more.",N/A,Kayne Anderson Acquisition Corp.,12.99,346,89,2025-06-04,
45f655e4-a732-4ea4-9b24-f4dd5842f3e0,error: Access denied to method rand.,Manual pasta maker for homemade pasta.,HOME,Natural Resource Partners LP,39,80,90,2025-10-30,
c3b1db21-b042-4bf1-b7a7-cf5b7559b6aa,error: Access denied to method rand.,Bold graphic hoodie featuring a comfortable fit and soft fabric.,ELETRONICS,"CryoLife, Inc.",49.99,,91,2026-06-18,
40beeac3-cca3-44a7-a715-a344b86c1662,error: Access denied to method rand.,Canned beans cooked in a savory chili sauce,clothing,BlackRock Science and Technology Trust,1.79,425,92,2026-03-25,
7b52581b-ef17-4f17-80d1-5f14f7781204,error: Access denied to method rand.,"Durable canvas tote bag, perfect for everyday use.",ELETRONICS,"Olympic Steel, Inc.",19.99,,93,2026-04-13,
10566fff-cf87-4cc0-ab84-c63ffd25b79c,error: Access denied to method rand.,Foldable mat for jigsaw puzzle assembly.,Clothing,"Edgewater Technology, Inc.",22.99,,94,2025-09-06,
fcad333d-72ba-4b8e-9d9d-5be6fd620e51,error: Access denied to method rand.,Non-stick baking mat for easy cooking and cleanup.,,Wells Fargo & Company,15.99,,95,2026-05-26,
d48963cb-8794-48c3-821b-937d823b006e,error: Access denied to method rand.,"Soft pita bread, perfect for sandwiches or dips.",Unknown,PowerShares KBW Bank Portfolio,2.99,421,96,2026-08-16,
4e792531-7f73-4569-b0d3-9c9b4f91c318,error: Access denied to method rand.,A quick and easy fried rice mix with colorful veggies and savory seasoning.,clothing,"Community First Bancshares, Inc.",3.99,,97,2026-10-30,
b382a76e-b439-404f-95e5-cb693cfced91,error: Access denied to method rand.,BPA-free sports bottle with flip-top lid.,books,WeatherStorm Forensic Accounting Long Short ETF,15.99,225,98,2025-01-30,
aa16b3e9-c651-4be4-957f-87b1665fe457,error: Access denied to method rand.,Savory roasted garlic in a jar for easy use.,BOOKS,GigaMedia Limited,4.29,15,99,2026-06-12,2025-02-14
34e7d44a-9b35-4f10-a8c4-c73be93ecc9e,error: Access denied to method rand.,All ingredients needed to make your own sushi,BOOKS,Xcel Energy Inc.,9.99,393,100,2026-05-11,
fb036033-9e9c-425e-b62e-88eae161c5c5,error: Access denied to method rand.,Vegan sushi filled with spicy vegetables and avocado.,BOOKS,Renren Inc.,8.49,,101,2025-03-17,
14c8a2b7-e4b4-45c9-ba6a-02e450e13467,error: Access denied to method rand.,"A zesty marinade made with lemon juice and garlic, ideal for chicken or fish.",Home,iShares FTSE EPRA/NAREIT Europe Index Fund,4.29,,102,2025-11-28,
542a65da-0566-4f19-919a-0646ff2d6c41,error: Access denied to method rand.,Classic wooden building blocks for toddlers.,BOOKS,Invesco California Value Municipal Income Trust,24.99,47,103,2026-05-10,2026-11-01
8b7ee34e-0d06-473e-a6a7-5206388132c2,error: Access denied to method rand.,"Fresh green cabbage, great for salads and slaws.",N/A,"SS&C Technologies Holdings, Inc.",1.29,335,104,2026-02-26,
4a7a1ce7-46dc-404e-ad4a-66fb2463a2dd,error: Access denied to method rand.,All-in-one kit for making delicious chicken salad.,N/A,Bank Of Montreal,5.99,166,105,2026-04-28,
687a02bf-3dd8-4f9c-a34e-df08ba5b8545,error: Access denied to method rand.,Interactive kitchen set for imaginative play.,,Nuveen Dow 30SM Dynamic Overwrite Fund,129.99,205,106,2025-10-28,
8d98f542-bf52-4030-8adf-dddc21b88e6b,error: Access denied to method rand.,Prepped vegetables and sauces for a quick Asian stir-fry meal.,ELETRONICS,Icahn Enterprises L.P.,5.49,79,107,2025-04-26,2025-07-07
6a55f400-9303-46bc-bc24-329a7d3da9bc,error: Access denied to method rand.,Cold pasta salad tossed with pesto and fresh vegetables.,,ACNB Corporation,4.99,-5,108,2025-10-27,
b9a6c98c-c6c9-423c-ab02-08bb858e5fd3,error: Access denied to method rand.,Hearty casserole with beef and enchilada sauce.,,"United Parcel Service, Inc.",8.99,158,109,2026-12-20,
2ed64cdc-a8e2-4c2c-a2f5-ab001b81cfc0,error: Access denied to method rand.,Freshly ground cinnamon spice for baking or seasoning.,electronics,"Dover Motorsports, Inc.",1.99,328,110,2026-05-10,
9b067735-40d8-4d83-868e-36a03171eafa,error: Access denied to method rand.,Pack of ultra-soft microfiber cloths for cleaning.,Clothing,The AES Corporation,9.99,,111,2025-09-07,
297a60dd-da57-448a-9c0c-01958ccc2599,error: Access denied to method rand.,"Soft and comfortable robe, perfect for lounging at home.",Eletrônicos,Puma Biotechnology Inc,59.99,142,112,2025-06-01,
4a437e2e-c755-4f57-9769-ec07a26db9e4,error: Access denied to method rand.,Eco-friendly reusable bags for snacks.,books,Barington/Hilco Acquisition Corp.,14.99,-5,113,2025-05-30,
b47331a9-5929-4a6b-b789-b392364a5ff4,error: Access denied to method rand.,A luxurious faux fur coat that adds glamour to any outfit.,Eletrônicos,"Shoe Carnival, Inc.",129.99,435,114,2026-01-02,
6ecb43bf-4e01-41c3-b10f-34d89e253d01,error: Access denied to method rand.,"Crunchy granola bars made with almond butter, oats, and honey, perfect for on-the-go snacking.",HOME,Esterline Technologies Corporation,4.99,447,115,2026-04-22,
1aadfe37-75db-4117-9332-78d30f4015b0,error: Access denied to method rand.,Soft and chewy bar packed with protein and cinnamon flavors.,electronics,"Digital Realty Trust, Inc.",2.99,250,116,2025-08-21,
02d62c7c-1634-4080-9a9b-e1a724787696,error: Access denied to method rand.,Nutritious snack bar made with almond butter and protein.,books,Heska Corporation,1.99,,117,2025-08-14,
6d89d043-f760-45a0-b2fc-7bdd5f82ee30,error: Access denied to method rand.,Effective laundry detergent for a deep clean.,Home,"FTD Companies, Inc.",12.99,-5,118,2026-07-16,
8d3708c8-2501-4ffe-959e-bf90e9c3a591,error: Access denied to method rand.,A sweet and spicy glaze that's perfect for grilling or marinades.,Clothing,"Hub Group, Inc.",3.49,374,119,2025-12-04,
71d81e4d-78ef-49f2-a894-f3f8f983ebf3,error: Access denied to method rand.,Laundry bags perfect for delicates and organizing clothes.,ELETRONICS,"AutoZone, Inc.",12.99,,120,2026-04-12,
8d09bd71-4601-4c3a-a936-06c0d66229a4,error: Access denied to method rand.,Intricate designs for adults to relax and unwind.,Home,"ACI Worldwide, Inc.",14.99,40,121,2025-02-26,
ac25d826-05dd-4a0a-a143-559094dd0fd8,error: Access denied to method rand.,High-capacity power bank for charging devices on the go.,Electronics,Canadian Pacific Railway Limited,29.99,,122,2026-05-22,
40e6b337-eb45-4b61-802c-df73788a6f6b,error: Access denied to method rand.,Fun inflatable cooler to keep drinks cold at parties.,HOME,EPR Properties,19.99,,123,2025-03-17,2025-09-18
f9fb7873-e0c0-4386-895e-4c7508d426e1,error: Access denied to method rand.,Fragrant fried rice with authentic Thai basil and veggies.,Eletronics,"Genocea Biosciences, Inc.",5.99,,124,2025-06-13,
d0a67f03-489e-4ce1-afbb-34f015598210,error: Access denied to method rand.,Instant mix for delicious pumpkin spice lattes at home.,Eletronics,TICC Capital Corp.,3.29,485,125,2025-06-17,
8cbeda41-0b43-4976-9206-174f1eb2cab4,error: Access denied to method rand.,Sweet and tangy mango chutney for a flavorful dip.,HOME,"Southern First Bancshares, Inc.",3.99,,126,2026-02-22,
5a9a7dff-4850-4bac-a051-ca8012279abc,error: Access denied to method rand.,"A tangy sauce made with cranberries and citrus zest, perfect for turkey and chicken dishes.",electronics,"NantHealth, Inc.",3.99,457,127,2025-03-11,
f1e4675c-3d22-4c45-8db1-0a43ac569809,error: Access denied to method rand.,Everything you need for a fresh and delicious Caesar salad.,Eletrônicos,TrustCo Bank Corp NY,4.99,89,128,2025-10-17,
f421387d-8755-4a04-8c5b-89d2fa04c84d,error: Access denied to method rand.,A blend of spices that brings the taste of fall to your baked goods.,,"Verifone Systems, Inc.",2.99,248,129,2025-06-10,
c7e04726-55e1-4d07-be68-8acd6aa42abe,error: Access denied to method rand.,Fun instruments to introduce kids to music.,,"TCW Strategic Income Fund, Inc.",39.99,249,130,2025-01-23,
52ee6ae9-2661-4450-8787-f5c48b996456,error: Access denied to method rand.,Complete sculpting tools for artists.,Eletronics,"Team, Inc.",25.99,,131,2026-06-24,2025-11-24
88a07d2f-86b5-40d5-a716-f4332658ba7b,error: Access denied to method rand.,Compact yoga mat that folds for easy storage and transport.,N/A,Park Sterling Corporation,29.99,232,132,2025-07-03,
837623d3-d3a1-4097-8e57-47c7b4b37199,error: Access denied to method rand.,Non-stick baking mat for easy cooking and cleanup.,electronics,"Advanced Energy Industries, Inc.",15.99,109,133,2026-07-01,
3b90ff31-1568-4fc2-88ae-09207a6f06a9,error: Access denied to method rand.,A fragrant blend of Italian herbs for pasta sauces and marinades.,books,"Patterson-UTI Energy, Inc.",1.99,,134,2025-06-16,2025-10-28
3da2d15a-8fbf-48a3-841f-786ddfe497ab,error: Access denied to method rand.,"Tangy and sweet balsamic dressing, perfect for salads.",Eletronics,Gabelli Dividend,2.99,-5,135,2025-11-01,
cf93e214-bb5d-4cef-a27f-363878dd6d1d,error: Access denied to method rand.,Marinated chicken grilled with lemon and herbs.,Unknown,"Cara Therapeutics, Inc.",7.49,125,136,2026-09-16,
0f4583f2-c998-44d5-84aa-209393d30cc3,error: Access denied to method rand.,A flavorful barbecue sauce with a sweet and spicy kick.,books,Sohu.com Inc.,3.99,173,137,2026-08-04,
4fff17dd-16a1-4332-b7c2-66aff1a83e2f,error: Access denied to method rand.,Creamy honey mustard sauce for dipping or dressing.,Books,"Verastem, Inc.",3.29,480,138,2025-07-12,
0461c785-d81e-458e-ac49-02cb72f8d385,error: Access denied to method rand.,Refreshing dessert bars made with pineapple and coconut.,Electronics,Eaton Vance Tax-Managed Diversified Equity Income Fund,3.79,78,139,2026-06-26,
43b6c8fa-459f-494a-ba95-e3fb71ddf318,error: Access denied to method rand.,Easy-to-set-up picnic table for outdoor dining.,clothing,American Tower Corporation (REIT),69.99,363,140,2025-09-27,
75951499-03c7-4c97-a2d5-0a89cb9cd165,error: Access denied to method rand.,Pancake mix infused with seasonal pumpkin spice flavor.,BOOKS,Jones Lang LaSalle Incorporated,3.49,144,141,2025-10-09,
c4da1bd3-a62f-4d95-ba2b-c73c68bba524,error: Access denied to method rand.,"A nutritious salad with kale, quinoa, and a zesty lemon dressing.",Eletrônicos,Dynavax Technologies Corporation,6.49,236,142,2025-02-22,
0f708b5f-b168-45fe-a856-dd13714e9ad0,error: Access denied to method rand.,"High in protein, perfect for soups and stews.",electronics,NorthWestern Corporation,2.99,,143,2025-08-01,
9dc8e0ec-59e7-4e2e-bb63-64cecf7a1371,error: Access denied to method rand.,Professional sharpening system for kitchen knives.,electronics,KKR Income Opportunities Fund,39.99,309,144,2026-02-18,
397fbbcd-cc0b-4578-88ee-cc1e830f569b,error: Access denied to method rand.,Planter with self-watering feature for easy plant care.,Unknown,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp,24.99,98,145,2025-05-07,
